Percentage served,Time in ms
0,1.575
1,2.042
2,2.670
3,2.932
4,2.932
5,2.933
6,2.938
7,2.950
8,2.955
9,2.958
10,2.971
11,2.979
12,2.979
13,2.988
14,2.990
15,2.997
16,3.002
17,3.011
18,3.012
19,3.014
20,3.029
21,3.033
22,3.033
23,3.039
24,3.043
25,3.044
26,3.055
27,3.056
28,3.057
29,3.078
30,3.079
31,3.083
32,3.100
33,3.109
34,3.111
35,3.119
36,3.120
37,3.123
38,3.137
39,3.138
40,3.139
41,3.140
42,3.143
43,3.143
44,3.144
45,3.147
46,3.149
47,3.160
48,3.163
49,3.177
50,3.181
51,3.215
52,3.218
53,3.231
54,3.231
55,3.233
56,3.236
57,3.252
58,3.252
59,3.253
60,3.255
61,3.257
62,3.272
63,3.275
64,3.295
65,3.305
66,3.310
67,3.336
68,3.343
69,3.347
70,3.362
71,3.380
72,3.380
73,3.390
74,3.399
75,3.422
76,3.433
77,3.440
78,3.450
79,3.463
80,3.465
81,3.518
82,3.527
83,3.616
84,3.623
85,3.704
86,3.713
87,3.720
88,3.769
89,3.780
90,3.801
91,3.811
92,3.844
93,3.862
94,3.925
95,3.961
96,3.980
97,4.103
98,4.180
99,4.393
100,4.393
