Percentage served,Time in ms
0,2.446
1,2.940
2,2.980
3,2.998
4,3.003
5,3.005
6,3.013
7,3.018
8,3.018
9,3.024
10,3.028
11,3.037
12,3.038
13,3.042
14,3.047
15,3.055
16,3.081
17,3.081
18,3.084
19,3.084
20,3.088
21,3.095
22,3.098
23,3.107
24,3.111
25,3.137
26,3.141
27,3.162
28,3.163
29,3.171
30,3.174
31,3.194
32,3.210
33,3.233
34,3.246
35,3.273
36,3.274
37,3.297
38,3.310
39,3.336
40,3.337
41,3.337
42,3.347
43,3.355
44,3.357
45,3.364
46,3.370
47,3.381
48,3.383
49,3.384
50,3.389
51,3.392
52,3.392
53,3.395
54,3.397
55,3.397
56,3.402
57,3.403
58,3.409
59,3.416
60,3.434
61,3.436
62,3.451
63,3.454
64,3.460
65,3.519
66,3.528
67,3.541
68,3.583
69,3.625
70,3.626
71,3.629
72,3.669
73,3.686
74,3.697
75,3.706
76,3.732
77,3.781
78,3.792
79,3.796
80,3.820
81,3.884
82,3.896
83,3.906
84,3.990
85,4.271
86,4.355
87,4.463
88,4.555
89,4.644
90,5.125
91,5.160
92,5.381
93,5.424
94,5.581
95,5.605
96,5.654
97,5.729
98,7.270
99,7.667
100,7.667
